chapter,verse,text,prep
2,118,"Dan orang-orang yang tidak mengetahui berkata: \""Mengapa Allah tidak (langsung) berbicara dengan kami atau datang tanda-tanda kekuasaan-Nya kepada kami?\"" Demikian pula orang-orang yang sebelum mereka telah mengatakan seperti ucapan mereka itu; hati mereka serupa. Sesungguhnya Kami telah menjelaskan tanda-tanda kekuasaan Kami kepada kaum yang yakin.",orangorang allah langsung bicara tandatanda kuasa orangorang ucap hati sungguh tandatanda kuasa kaum
2,123,Dan takutlah kamu kepada suatu hari di waktu seseorang tidak dapat menggantikan seseorang lain sedikitpun dan tidak akan diterima suatu tebusan daripadanya dan tidak akan memberi manfaat sesuatu syafa´at kepadanya dan tidak (pula) mereka akan ditolong.,takut hari ganti sedikit terima tebus daripada manfaat syafa at tolong
2,134,"Itu adalah umat yang lalu; baginya apa yang telah diusahakannya dan bagimu apa yang sudah kamu usahakan, dan kamu tidak akan diminta pertanggungan jawab tentang apa yang telah mereka kerjakan.",umat bagi usaha bagi usaha tanggung jawab kerja
2,138,Shibghah Allah. Dan siapakah yang lebih baik shibghahnya dari pada Allah? Dan hanya kepada-Nya-lah kami menyembah.,shibghah allah shibghahnya allah kepada sembah
2,139,"Katakanlah: \""Apakah kamu memperdebatkan dengan kami tentang Allah, padahal Dia adalah Tuhan kami dan Tuhan kamu; bagi kami amalan kami, dan bagi kamu amalan kamu dan hanya kepada-Nya kami mengikhlaskan hati,",debat allah tuhan tuhan amal amal ikhlas hati
2,141,Itu adalah umat yang telah lalu; baginya apa yang diusahakannya dan bagimu apa yang kamu usahakan; dan kamu tidak akan diminta pertanggungan jawab tentang apa yang telah mereka kerjakan.,umat bagi usaha bagi usaha tanggung jawab kerja
2,147,"Kebenaran itu adalah dari Tuhanmu, sebab itu jangan sekali-kali kamu termasuk orang-orang yang ragu.",benar tuhan sekalikali orangorang ragu
2,152,"Karena itu, ingatlah kamu kepada-Ku niscaya Aku ingat (pula) kepadamu, dan bersyukurlah kepada-Ku, dan janganlah kamu mengingkari (nikmat)-Ku.",ingat kepada niscaya kepada syukur kepada ingkar nikmat
2,166,"(Yaitu) ketika orang-orang yang diikuti itu berlepas diri dari orang-orang yang mengikutinya, dan mereka melihat siksa; dan (ketika) segala hubungan antara mereka terputus sama sekali.",orangorang ikut lepas orangorang ikut siksa hubung putus
2,169,"Sesungguhnya syaitan itu hanya menyuruh kamu berbuat jahat dan keji, dan mengatakan terhadap Allah apa yang tidak kamu ketahui.",sungguh syaitan suruh buat jahat keji allah tahu
2,193,"Dan perangilah mereka itu, sehingga tidak ada fitnah lagi dan (sehingga) ketaatan itu hanya semata-mata untuk Allah. Jika mereka berhenti (dari memusuhi kamu), maka tidak ada permusuhan (lagi), kecuali terhadap orang-orang yang zalim.",perang fitnah taat sematamata allah henti musuh musuh kecuali orangorang zalim
2,225,"Allah tidak menghukum kamu disebabkan sumpahmu yang tidak dimaksud (untuk bersumpah), tetapi Allah menghukum kamu disebabkan (sumpahmu) yang disengaja (untuk bersumpah) oleh hatimu. Dan Allah Maha Pengampun lagi Maha Penyantun.",allah hukum sebab sumpah sumpah allah hukum sebab sumpah sengaja sumpah hati allah maha kam maha santun
2,239,"Jika kamu dalam keadaan takut (bahaya), maka shalatlah sambil berjalan atau berkendaraan. Kemudian apabila kamu telah aman, maka sebutlah Allah (shalatlah), sebagaimana Allah telah mengajarkan kepada kamu apa yang belum kamu ketahui.",takut bahaya shalatlah jalan kendara aman allah shalatlah allah ajar tahu
3,22,"Mereka itu adalah orang-orang yang lenyap (pahala) amal-amalnya di dunia dan akhirat, dan mereka sekali-kali tidak memperoleh penolong.",orangorang lenyap pahala amalamalnya dunia akhirat sekalikali oleh tolong
3,56,"Adapun orang-orang yang kafir, maka akan Ku-siksa mereka dengan siksa yang sangat keras di dunia dan di akhirat, dan mereka tidak memperoleh penolong.",orangorang kafir siksa siksa keras dunia akhirat oleh tolong
3,58,"Demikianlah (kisah Isa), Kami membacakannya kepada kamu sebagian dari bukti-bukti (kerasulannya) dan (membacakan) Al Quran yang penuh hikmah.",kisah isa baca buktibukti rasul baca al quran penuh hikmah
3,73,"Dan janganlah kamu percaya melainkan kepada orang yang mengikuti agamamu. Katakanlah: \""Sesungguhnya petunjuk (yang harus diikuti) ialah petunjuk Allah, dan (janganlah kamu percaya) bahwa akan diberikan kepada seseorang seperti apa yang diberikan kepadamu, dan (jangan pula kamu percaya) bahwa mereka akan mengalahkan hujjahmu di sisi Tuhanmu\"". Katakanlah: \""Sesungguhnya karunia itu di tangan Allah, Allah memberikan karunia-Nya kepada siapa yang dikehendaki-Nya; dan Allah Maha Luas karunia-Nya) lagi Maha Mengetahui\"";",percaya orang ikut agama sungguh tunjuk ikut tunjuk allah percaya kepada percaya kalah hujjahmu sisi tuhan sungguh karunia tangan allah allah karunia hendak allah maha luas karunia maha
3,90,"Sesungguhnya orang-orang kafir sesudah beriman, kemudian bertambah kekafirannya, sekali-kali tidak akan diterima taubatnya; dan mereka itulah orang-orang yang sesat.",sungguh orangorang kafir iman tambah kafir sekalikali terima taubat orangorang sesat
3,94,"Maka barangsiapa mengada-adakan dusta terhadap Allah sesudah itu, maka merekalah orang-orang yang zalim.",barangsiapa mengadaadakan dusta allah orangorang zalim
3,105,"Dan janganlah kamu menyerupai orang-orang yang bercerai-berai dan berselisih sesudah datang keterangan yang jelas kepada mereka. Mereka itulah orang-orang yang mendapat siksa yang berat,",rupa orangorang berceraiberai selisih terang orangorang siksa berat
3,111,"Mereka sekali-kali tidak akan dapat membuat mudharat kepada kamu, selain dari gangguan-gangguan celaan saja, dan jika mereka berperang dengan kamu, pastilah mereka berbalik melarikan diri ke belakang (kalah). Kemudian mereka tidak mendapat pertolongan.",sekalikali mudharat gangguangangguan cela perang balik lari kalah tolong
3,163,"(Kedudukan) mereka itu bertingkat-tingkat di sisi Allah, dan Allah Maha Melihat apa yang mereka kerjakan.",duduk bertingkattingkat sisi allah allah maha kerja
3,178,"Dan janganlah sekali-kali orang-orang kafir menyangka, bahwa pemberian tangguh Kami kepada mereka adalah lebih baik bagi mereka. Sesungguhnya Kami memberi tangguh kepada mereka hanyalah supaya bertambah-tambah dosa mereka; dan bagi mereka azab yang menghinakan.",sekalikali orangorang kafir sangka beri tangguh sungguh tangguh bertambahtambah dosa azab hina
3,188,"Janganlah sekali-kali kamu menyangka, hahwa orang-orang yang gembira dengan apa yang telah mereka kerjakan dan mereka suka supaya dipuji terhadap perbuatan yang belum mereka kerjakan janganlah kamu menyangka bahwa mereka terlepas dari siksa, dan bagi mereka siksa yang pedih.",sekalikali sangka hahwa orangorang gembira kerja suka puji buat kerja sangka lepas siksa siksa pedih
4,31,"Jika kamu menjauhi dosa-dosa besar di antara dosa-dosa yang dilarang kamu mengerjakannya, niscaya Kami hapus kesalahan-kesalahanmu (dosa-dosamu yang kecil) dan Kami masukkan kamu ke tempat yang mulia (surga).",jauh dosadosa dosadosa larang kerja niscaya hapus kesalahankesalahanmu dosadosamu masuk mulia surga
4,33,"Bagi tiap-tiap harta peninggalan dari harta yang ditinggalkan ibu bapak dan karib kerabat, Kami jadikan pewaris-pewarisnya. Dan (jika ada) orang-orang yang kamu telah bersumpah setia dengan mereka, maka berilah kepada mereka bahagiannya. Sesungguhnya Allah menyaksikan segala sesuatu.",tiaptiap harta tinggal harta tinggal karib kerabat jadi pewarispewarisnya orangorang sumpah setia ilah bahagiannya sungguh allah saksi
4,46,"Yaitu orang-orang Yahudi, mereka mengubah perkataan dari tempat-tempatnya. Mereka berkata: \""Kami mendengar\"", tetapi kami tidak mau menurutinya. Dan (mereka mengatakan pula): \""Dengarlah\"" sedang kamu sebenarnya tidak mendengar apa-apa. Dan (mereka mengatakan): \""Raa´ina\"", dengan memutar-mutar lidahnya dan mencela agama. Sekiranya mereka mengatakan: \""Kami mendengar dan menurut, dan dengarlah, dan perhatikanlah kami\"", tentulah itu lebih baik bagi mereka dan lebih tepat, akan tetapi Allah mengutuk mereka, karena kekafiran mereka. Mereka tidak beriman kecuali iman yang sangat tipis.",orangorang yahudi ubah kata tempattempatnya dengar turut dengar dengar apaapa raa ina memutarmutar lidah cela agama dengar dengar perhati allah kutuk kafir iman kecuali iman tipis
4,50,"Perhatikanlah, betapakah mereka mengada-adakan dusta terhadap Allah? Dan cukuplah perbuatan itu menjadi dosa yang nyata (bagi mereka).",perhati betapa mengadaadakan dusta allah buat dosa nyata
4,52,"Mereka itulah orang yang dikutuki Allah. Barangsiapa yang dikutuki Allah, niscaya kamu sekali-kali tidak akan memperoleh penolong baginya.",orang tuk allah barangsiapa tuk allah niscaya sekalikali oleh tolong bagi
4,53,"Ataukah ada bagi mereka bahagian dari kerajaan (kekuasaan)? Kendatipun ada, mereka tidak akan memberikan sedikitpun (kebajikan) kepada manusia.",bahagian raja kuasa kendati sedikit kebaji manusia
4,64,"Dan Kami tidak mengutus seseorang rasul melainkan untuk ditaati dengan seizin Allah. Sesungguhnya jikalau mereka ketika menganiaya dirinya datang kepadamu, lalu memohon ampun kepada Allah, dan Rasulpun memohonkan ampun untuk mereka, tentulah mereka mendapati Allah Maha Penerima Taubat lagi Maha Penyayang.",utus rasul taat izin allah sungguh aniaya kepada mohon ampun allah rasul mohon ampun dapat allah maha terima taubat maha sayang
4,71,"Hai orang-orang yang beriman, bersiap siagalah kamu, dan majulah (ke medan pertempuran) berkelompok-kelompok, atau majulah bersama-sama!",hai orangorang iman siaga maju medan tempur berkelompokkelompok maju bersamasama
4,72,"Dan sesungguhnya di antara kamu ada orang yang sangat berlambat-lambat (ke medan pertempuran). Maka jika kamu ditimpa musibah ia berkata: \""Sesungguhnya Tuhan telah menganugerahkan nikmat kepada saya karena saya tidak ikut berperang bersama mereka.",sungguh orang berlambatlambat medan tempur timpa musibah sungguh tuhan anugerah nikmat perang
4,73,"Dan sungguh jika kamu beroleh karunia (kemenangan) dari Allah, tentulah dia mengatakan seolah-oleh belum pernah ada hubungan kasih sayang antara kamu dengan dia: \""Wahai kiranya saya ada bersama-sama mereka, tentu saya mendapat kemenangan yang besar (pula)\"".",sungguh oleh karunia menang allah seolaholeh hubung kasih sayang bersamasama menang
4,80,"Barangsiapa yang mentaati Rasul itu, sesungguhnya ia telah mentaati Allah. Dan barangsiapa yang berpaling (dari ketaatan itu), maka Kami tidak mengutusmu untuk menjadi pemelihara bagi mereka.",barangsiapa taat rasul sungguh taat allah barangsiapa paling taat utus pelihara
4,84,"Maka berperanglah kamu pada jalan Allah, tidaklah kamu dibebani melainkan dengan kewajiban kamu sendiri. Kobarkanlah semangat para mukmin (untuk berperang). Mudah-mudahan Allah menolak serangan orang-orang yang kafir itu. Allah amat besar kekuatan dan amat keras siksaan(Nya).",rang jalan allah beban wajib kobar semangat mukmin perang mudahmudahan allah tolak serang orangorang kafir allah kuat keras siksa
4,85,"Barangsiapa yang memberikan syafa´at yang baik, niscaya ia akan memperoleh bahagian (pahala) dari padanya. Dan barangsiapa memberi syafa´at yang buruk, niscaya ia akan memikul bahagian (dosa) dari padanya. Allah Maha Kuasa atas segala sesuatu.",barangsiapa syafa at niscaya oleh bahagian pahala barangsiapa syafa at buruk niscaya pikul bahagian dosa allah maha kuasa
4,90,"kecuali orang-orang yang meminta perlindungan kepada sesuatu kaum, yang antara kamu dan kaum itu telah ada perjanjian (damai) atau orang-orang yang datang kepada kamu sedang hati mereka merasa keberatan untuk memerangi kamu dan memerangi kaumnya. Kalau Allah menghendaki, tentu Dia memberi kekuasaan kepada mereka terhadap kamu, lalu pastilah mereka memerangimu. tetapi jika mereka membiarkan kamu, dan tidak memerangi kamu serta mengemukakan perdamaian kepadamu maka Allah tidak memberi jalan bagimu (untuk menawan dan membunuh) mereka.",kecuali orangorang lindung kaum kaum janji damai orangorang hati berat rang rang kaum allah kuasa merang biar rang muka damai kepada allah jalan bagi tawan bunuh
4,91,"Kelak kamu akan dapati (golongan-golongan) yang lain, yang bermaksud supaya mereka aman dari pada kamu dan aman (pula) dari kaumnya. Setiap mereka diajak kembali kepada fitnah (syirik), merekapun terjun kedalamnya. Karena itu jika mereka tidak membiarkan kamu dan (tidak) mau mengemukakan perdamaian kepadamu, serta (tidak) menahan tangan mereka (dari memerangimu), maka tawanlah mereka dan bunuhlah mereka dan merekalah orang-orang yang Kami berikan kepadamu alasan yang nyata (untuk menawan dan membunuh) mereka.",kelak dapat golongangolongan aman aman kaum ajak fitnah syirik mereka terjun dalam biar muka damai kepada tahan tangan merang tawan bunuh orangorang kepada alas nyata tawan bunuh
4,104,"Janganlah kamu berhati lemah dalam mengejar mereka (musuhmu). Jika kamu menderita kesakitan, maka sesungguhnya merekapun menderita kesakitan (pula), sebagaimana kamu menderitanya, sedang kamu mengharap dari pada Allah apa yang tidak mereka harapkan. Dan adalah Allah Maha Mengetahui lagi Maha Bijaksana.",hati lemah kejar musuh derita sakit sungguh mereka derita sakit derita harap allah harap allah maha maha bijaksana
4,106,dan mohonlah ampun kepada Allah. Sesungguhnya Allah Maha Pengampun lagi Maha Penyayang.,mohon ampun allah sungguh allah maha kam maha sayang
4,110,"Dan barangsiapa yang mengerjakan kejahatan dan menganiaya dirinya, kemudian ia mohon ampun kepada Allah, niscaya ia mendapati Allah Maha Pengampun lagi Maha Penyayang.",barangsiapa jahat aniaya mohon ampun allah niscaya dapat allah maha kam maha sayang
4,129,"Dan kamu sekali-kali tidak akan dapat berlaku adil di antara isteri-isteri(mu), walaupun kamu sangat ingin berbuat demikian, karena itu janganlah kamu terlalu cenderung (kepada yang kamu cintai), sehingga kamu biarkan yang lain terkatung-katung. Dan jika kamu mengadakan perbaikan dan memelihara diri (dari kecurangan), maka sesungguhnya Allah Maha Pengampun lagi Maha Penyayang.",sekalikali laku adil isteriisterimu buat cenderung cinta biar terkatungkatung ada baik pelihara curang sungguh allah maha kam maha sayang
4,137,"Sesungguhnya orang-orang yang beriman kemudian kafir, kemudian beriman (pula), kamudian kafir lagi, kemudian bertambah kekafirannya, maka sekali-kali Allah tidak akan memberi ampunan kepada mereka, dan tidak (pula) menunjuki mereka kepada jalan yang lurus.",sungguh orangorang iman kafir iman kamudian kafir tambah kafir sekalikali allah ampun jalan lurus
4,143,"Mereka dalam keadaan ragu-ragu antara yang demikian (iman atau kafir): tidak masuk kepada golongan ini (orang-orang beriman) dan tidak (pula) kepada golongan itu (orang-orang kafir), maka kamu sekali-kali tidak akan mendapat jalan (untuk memberi petunjuk) baginya.",raguragu iman kafir masuk golong orangorang iman golong orangorang kafir sekalikali jalan tunjuk bagi
4,154,"Dan telah Kami angkat ke atas (kepala) mereka bukit Thursina untuk (menerima) perjanjian (yang telah Kami ambil dari) mereka. Dan kami perintahkan kepada mereka: \""Masuklah pintu gerbang itu sambil bersujud\"", dan Kami perintahkan (pula) kepada mereka: \""Janganlah kamu melanggar peraturan mengenai hari Sabtu\"", dan Kami telah mengambil dari mereka perjanjian yang kokoh.",angkat kepala bukit thursina terima janji ambil perintah masuk pintu gerbang sujud perintah langgar atur hari sabtu ambil janji kokoh
5,10,"Adapun orang-orang yang kafir dan mendustakan ayat-ayat Kami, mereka itu adalah penghuni neraka.",orangorang kafir dusta ayatayat huni neraka
5,52,"Maka kamu akan melihat orang-orang yang ada penyakit dalam hatinya (orang-orang munafik) bersegera mendekati mereka (Yahudi dan Nasrani), seraya berkata: \""Kami takut akan mendapat bencana\"". Mudah-mudahan Allah akan mendatangkan kemenangan (kepada Rasul-Nya), atau sesuatu keputusan dari sisi-Nya. Maka karena itu, mereka menjadi menyesal terhadap apa yang mereka rahasiakan dalam diri mereka.",orangorang sakit hati orangorang munafik segera dekat yahudi nasrani seraya takut bencana mudahmudahan allah menang rasul putus sisi sesal rahasia
5,53,"Dan orang-orang yang beriman akan mengatakan: \""Inikah orang-orang yang bersumpah sungguh-sungguh dengan nama Allah, bahwasanya mereka benar-benar beserta kamu?\"" Rusak binasalah segala amal mereka, lalu mereka menjadi orang-orang yang merugi.",orangorang iman orangorang sumpah sungguhsungguh nama allah benarbenar serta rusak binasa amal orangorang rugi
5,86,"Dan orang-orang kafir serta mendustakan ayat-ayat Kami, mereka itulah penghuni neraka.",orangorang kafir dusta ayatayat huni neraka
5,102,"Sesungguhnya telah ada segolongsn manusia sebelum kamu menanyakan hal-hal yang serupa itu (kepada Nabi mereka), kemudian mereka tidak percaya kepadanya.",sungguh segolongsn manusia halhal nabi percaya
6,4,"Dan tidak ada suatu ayatpun dari ayat-ayat Tuhan sampai kepada mereka, melainkan mereka selalu berpaling dari padanya (mendustakannya).",ayat ayatayat tuhan paling dusta
6,5,"Sesungguhnya mereka telah mendustakan yang haq (Al-Quran) tatkala sampai kepada mereka, maka kelak akan sampai kepada mereka (kenyataan dari) berita-berita yang selalu mereka perolok-olokkan.",sungguh dusta haq alquran tatkala kelak nyata beritaberita perolokolokkan
6,10,"Dan sungguh telah diperolok-olokkan beberapa rasul sebelum kamu, maka turunlah kepada orang-orang yang mencemoohkan di antara mereka balasan (azab) olok-olokan mereka.",sungguh diperolokolokkan rasul turun orangorang cemooh balas azab olokolokan
6,15,"Katakanlah: \""Sesungguhnya aku takut akan azab hari yang besar (hari kiamat), jika aku mendurhakai Tuhanku\"".",sungguh takut azab hari hari kiamat durhaka tuhan
6,16,"Barang siapa yang dijauhkan azab dari padanya pada hari itu, maka sungguh Allah telah memberikan rahmat kepadanya. Dan itulah keberuntungan yang nyata.",barang jauh azab hari sungguh allah rahmat untung nyata
6,20,"Orang-orang yang telah Kami berikan kitab kepadanya, mereka mengenalnya (Muhammad) seperti mereka mengenal anak-anaknya sendiri. Orang-orang yang merugikan dirinya, mereka itu tidak beriman (kepada Allah).",orangorang kitab kenal muhammad kenal anakanaknya orangorang rugi iman allah
6,21,"Dan siapakah yang lebih aniaya daripada orang yang membuat-buat suatu kedustaan terhadap Allah, atau mendustakan ayat-ayat-Nya? Sesungguhnya orang-orang yang aniaya itu tidak mendapat keberuntungan.",aniaya orang membuatbuat dusta allah dusta ayatayatnya sungguh orangorang aniaya untung
6,24,Lihatlah bagaimana mereka telah berdusta kepada diri mereka sendiri dan hilanglah daripada mereka sembahan-sembahan yang dahulu mereka ada-adakan.,lihat dusta hilang sembahansembahan adaadakan
6,26,"Dan mereka melarang (orang lain) mendengarkan Al-Quran dan mereka sendiri menjauhkan diri daripadanya, dan mereka hanyalah membinasakan diri mereka sendiri, sedang mereka tidak menyadari.",larang orang dengar alquran jauh daripada binasa sadar
6,28,"Tetapi (sebenarnya) telah nyata bagi mereka kejahatan yang mereka dahulu selalu menyembunyikannya. Sekiranya mereka dikembalikan ke dunia, tentulah mereka kembali kepada apa yang mereka telah dilarang mengerjakannya. Dan sesungguhnya mereka itu adalah pendusta belaka.",nyata jahat sembunyi kembali dunia larang kerja sungguh dusta belaka
6,30,"Dan seandainya kamu melihat ketika mereka dihadapkan kepada Tuhannya (tentulah kamu melihat peristiwa yang mengharukan). Berfirman Allah: \""Bukankah (kebangkitan ini benar?\"" Mereka menjawab: \""Sungguh benar, demi Tuhan kami\"". Berfirman Allah: \""Karena itu rasakanlah azab ini, disebabkan kamu mengingkari(nya)\"".",anda hadap tuhan peristiwa haru firman allah bangkit sungguh tuhan firman allah rasa azab sebab ingkar
6,33,"Sesungguhnya Kami mengetahui bahwasanya apa yang mereka katakan itu menyedihkan hatimu, (janganlah kamu bersedih hati), karena mereka sebenarnya bukan mendustakan kamu, akan tetapi orang-orang yang zalim itu mengingkari ayat-ayat Allah.",sungguh sedih hati sedih hati dusta orangorang zalim ingkar ayatayat allah
6,36,"Hanya mereka yang mendengar sajalah yang mematuhi (seruan Allah), dan orang-orang yang mati (hatinya), akan dibangkitkan oleh Allah, kemudian kepada-Nya-lah mereka dikembalikan.",dengar patuh seru allah orangorang mati hati bangkit allah kepada kembali
6,39,"Dan orang-orang yang mendustakan ayat-ayat Kami adalah pekak, bisu dan berada dalam gelap gulita. Barangsiapa yang dikehendaki Allah (kesesatannya), niscaya disesatkan-Nya. Dan barangsiapa yang dikehendaki Allah (untuk diberi-Nya petunjuk), niscaya Dia menjadikan-Nya berada di atas jalan yang lurus.",orangorang dusta ayatayat pekak bisu gelap gulita barangsiapa hendak allah sesat niscaya sesat barangsiapa hendak allah beri tunjuk niscaya jadi jalan lurus
6,46,"Katakanlah: \""Terangkanlah kepadaku jika Allah mencabut pendengaran dan penglihatan serta menutup hatimu, siapakah tuhan selain Allah yang kuasa mengembalikannya kepadamu?\"" Perhatikanlah bagaimana Kami berkali-kali memperlihatkan tanda-tanda kebesaran (Kami), kemudian mereka tetap berpaling (juga).",terang kepada allah cabut dengar lihat tutup hati tuhan allah kuasa kembali kepada perhati berkalikali tandatanda besar paling
6,47,"Katakanlah: \""Terangkanlah kepadaku jika datang siksaan Allah kepadamu dengan sekonyong-konyong, atau terang-terangan, maka adakah yang dibinasakan (Allah) selain dari orang yang zalim?\""",terang kepada siksa allah kepada sekonyongkonyong terangterangan ada binasa allah orang zalim
6,51,"Dan berilah peringatan dengan apa yang diwahyukan itu kepada orang-orang yang takut akan dihimpunkan kepada Tuhannya (pada hari kiamat), sedang bagi mereka tidak ada seorang pelindung dan pemberi syafa´atpun selain daripada Allah, agar mereka bertakwa.",ilah ingat wahyu orangorang takut himpun tuhan hari kiamat lindung beri syafa atpun allah takwa
6,52,"Dan janganlah kamu mengusir orang-orang yang menyeru Tuhannya di pagi dan petang hari, sedang mereka menghendaki keridhaan-Nya. Kamu tidak memikul tanggung jawab sedikitpun terhadap perbuatan mereka dan merekapun tidak memikul tanggung jawab sedikitpun terhadap perbuatanmu, yang menyebabkan kamu (berhak) mengusir mereka, (sehingga kamu termasuk orang-orang yang zalim).",usir orangorang seru tuhan pagi petang hari keridhaannya pikul tanggung jawab sedikit buat mereka pikul tanggung jawab sedikit buat sebab hak usir orangorang zalim
6,55,"Dan demikianlah Kami terangkan ayat-ayat Al-Quran (supaya jelas jalan orang-orang yang saleh, dan supaya jelas (pula) jalan orang-orang yang berdosa.",terang ayatayat alquran jalan orangorang saleh jalan orangorang dosa
6,60,"Dan Dialah yang menidurkan kamu di malam hari dan Dia mengetahui apa yang kamu kerjakan di siang hari, kemudian Dia membangunkan kamu pada siang hari untuk disempurnakan umur(mu) yang telah ditentukan, kemudian kepada Allah-lah kamu kembali, lalu Dia memberitahukan kepadamu apa yang dahulu kamu kerjakan.",tidur malam hari kerja siang hari bangun siang hari sempurna umur tentu allah memberitahukan kepada kerja
6,63,"Katakanlah: \""Siapakah yang dapat menyelamatkan kamu dari bencana di darat dan di laut, yang kamu berdoa kepada-Nya dengan rendah diri dengan suara yang lembut (dengan mengatakan: \""Sesungguhnya jika Dia menyelamatkan kami dari (bencana) ini, tentulah kami menjadi orang-orang yang bersyukur\""\"".",selamat bencana darat laut doa rendah suara lembut sungguh selamat bencana orangorang syukur
6,64,"Katakanlah: \""Allah menyelamatkan kamu dari bencana itu dan dari segala macam kesusahan, kemudian kamu kembali mempersekutukan-Nya\"".",allah selamat bencana susah sekutu
6,66,"Dan kaummu mendustakannya (azab) padahal azab itu benar adanya. Katakanlah: \""Aku ini bukanlah orang yang diserahi mengurus urusanmu\"".",kaum dusta azab azab orang serahi urus urus
6,67,Untuk setiap berita (yang dibawa oleh rasul-rasul) ada (waktu) terjadinya dan kelak kamu akan mengetahui.,berita bawa rasulrasul kelak
6,69,Dan tidak ada pertanggungjawaban sedikitpun atas orang-orang yang bertakwa terhadap dosa mereka; akan tetapi (kewajiban mereka ialah) mengingatkan agar mereka bertakwa.,pertanggungjawaban sedikit orangorang takwa dosa wajib takwa
6,81,"Bagaimana aku takut kepada sembahan-sembahan yang kamu persekutukan (dengan Allah), padahal kamu tidak mempersekutukan Allah dengan sembahan-sembahan yang Allah sendiri tidak menurunkan hujjah kepadamu untuk mempersekutukan-Nya. Maka manakah di antara dua golongan itu yang lebih berhak memperoleh keamanan (dari malapetaka), jika kamu mengetahui?",takut sembahansembahan sekutu allah sekutu allah sembahansembahan allah turun hujjah kepada sekutu mana golong hak oleh aman malapetaka
6,82,"Orang-orang yang beriman dan tidak mencampuradukkan iman mereka dengan kezaliman (syirik), mereka itulah yang mendapat keamanan dan mereka itu adalah orang-orang yang mendapat petunjuk.",orangorang iman mencampuradukkan iman zalim syirik aman orangorang tunjuk
6,94,"Dan sesungguhnya kamu datang kepada Kami sendiri-sendiri sebagaimana kamu Kami ciptakan pada mulanya, dan kamu tinggalkan di belakangmu (di dunia) apa yang telah Kami karuniakan kepadamu; dan Kami tiada melihat besertamu pemberi syafa´at yang kamu anggap bahwa mereka itu sekutu-sekutu Tuhan di antara kamu. Sungguh telah terputuslah (pertalian) antara kamu dan telah lenyap daripada kamu apa yang dahulu kamu anggap (sebagai sekutu Allah).",sungguh sendirisendiri cipta tinggal belakang dunia karunia kepada tiada serta beri syafa at anggap sekutusekutu tuhan sungguh putus tali lenyap anggap sekutu allah
